"STATION","NAME","DATE","AWND","TMAX","TMIN","WDF2","WSF2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-26",,"91","72",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-27",,"93","72",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-28",,"87","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-29",,"72","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-30",,"73","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-01",,"77","58",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-02",,"77","63",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-03",,"71","60",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-04",,"72","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-05",,"72","52",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-06",,"72","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-07",,"73","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-08",,"76","63",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-09",,"77","54",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-10",,"70","49",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-11",,"69","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-12",,"79","57",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-10-13",,"78","60",,
